"pair_id","sample_a_1","sample_b_1","count_1","sample_a_2","sample_b_2","count_2","diff","abs_diff","rel_diff"
"CDIF_SB_1000||CDIF_SB_1005","CDIF_SB_1000","CDIF_SB_1005",9256,"CDIF_SB_1000","CDIF_SB_1005",9256,0,0,0
"CDIF_SB_1000||CDIF_SB_1014","CDIF_SB_1000","CDIF_SB_1014",9231,"CDIF_SB_1000","CDIF_SB_1014",9231,0,0,0
"CDIF_SB_1000||CDIF_SB_102","CDIF_SB_1000","CDIF_SB_102",9246,"CDIF_SB_1000","CDIF_SB_102",9246,0,0,0
"CDIF_SB_1000||CDIF_SB_1020","CDIF_SB_1000","CDIF_SB_1020",6104,"CDIF_SB_1000","CDIF_SB_1020",6104,0,0,0
"CDIF_SB_1000||CDIF_SB_1025","CDIF_SB_1000","CDIF_SB_1025",9225,"CDIF_SB_1000","CDIF_SB_1025",9225,0,0,0
"CDIF_SB_1000||CDIF_SB_1046","CDIF_SB_1000","CDIF_SB_1046",9524,"CDIF_SB_1000","CDIF_SB_1046",9524,0,0,0
"CDIF_SB_1000||CDIF_SB_105","CDIF_SB_1000","CDIF_SB_105",9246,"CDIF_SB_1000","CDIF_SB_105",9246,0,0,0
"CDIF_SB_1000||CDIF_SB_106","CDIF_SB_1000","CDIF_SB_106",5563,"CDIF_SB_1000","CDIF_SB_106",5563,0,0,0
"CDIF_SB_1000||CDIF_SB_1060","CDIF_SB_1000","CDIF_SB_1060",9299,"CDIF_SB_1000","CDIF_SB_1060",9299,0,0,0
"CDIF_SB_1000||CDIF_SB_107","CDIF_SB_1000","CDIF_SB_107",15855,"CDIF_SB_1000","CDIF_SB_107",15855,0,0,0
"CDIF_SB_1000||CDIF_SB_1077","CDIF_SB_1000","CDIF_SB_1077",9246,"CDIF_SB_1000","CDIF_SB_1077",9246,0,0,0
"CDIF_SB_1000||CDIF_SB_1081","CDIF_SB_1000","CDIF_SB_1081",9561,"CDIF_SB_1000","CDIF_SB_1081",9561,0,0,0
"CDIF_SB_1000||CDIF_SB_109","CDIF_SB_1000","CDIF_SB_109",6975,"CDIF_SB_1000","CDIF_SB_109",6975,0,0,0
"CDIF_SB_1000||CDIF_SB_1094","CDIF_SB_1000","CDIF_SB_1094",5096,"CDIF_SB_1000","CDIF_SB_1094",5096,0,0,0
"CDIF_SB_1000||CDIF_SB_1099","CDIF_SB_1000","CDIF_SB_1099",9561,"CDIF_SB_1000","CDIF_SB_1099",9561,0,0,0
"CDIF_SB_1000||CDIF_SB_1104","CDIF_SB_1000","CDIF_SB_1104",9247,"CDIF_SB_1000","CDIF_SB_1104",9247,0,0,0
"CDIF_SB_1000||CDIF_SB_1109","CDIF_SB_1000","CDIF_SB_1109",9225,"CDIF_SB_1000","CDIF_SB_1109",9225,0,0,0
"CDIF_SB_1000||CDIF_SB_1112","CDIF_SB_1000","CDIF_SB_1112",14147,"CDIF_SB_1000","CDIF_SB_1112",14147,0,0,0
"CDIF_SB_1000||CDIF_SB_1113","CDIF_SB_1000","CDIF_SB_1113",14025,"CDIF_SB_1000","CDIF_SB_1113",14025,0,0,0
"CDIF_SB_1000||CDIF_SB_112","CDIF_SB_1000","CDIF_SB_112",9547,"CDIF_SB_1000","CDIF_SB_112",9547,0,0,0
"CDIF_SB_1000||CDIF_SB_1125","CDIF_SB_1000","CDIF_SB_1125",6998,"CDIF_SB_1000","CDIF_SB_1125",6998,0,0,0
"CDIF_SB_1000||CDIF_SB_1144","CDIF_SB_1000","CDIF_SB_1144",9244,"CDIF_SB_1000","CDIF_SB_1144",9244,0,0,0
"CDIF_SB_1000||CDIF_SB_1150","CDIF_SB_1000","CDIF_SB_1150",9256,"CDIF_SB_1000","CDIF_SB_1150",9256,0,0,0
